ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
9.9,9,1-clone,t7,,,,,,,,,
9.1,9,1-clone,t7,,,,,,,,,
9.11,9,1-clone,t7,,,,,,,,,
9.12,9,1-clone,t7,,,,,,,,,
9.13,9,1-clone,t7,,,,,,,,,
9.14,9,1-clone,t7,,,,,,,,,
9.15,9,1-clone,t7,,,,,,,,,
9.16,9,1-clone,t7,,,,,,,,,
9.17,9,1-clone,t7,,,,,,,,,
9.18,9,1-clone,t7,,,,,,,,,
9.19,9,1-clone,t7,,,,,,,,,
9.2,9,1-clone,t7,,,,,,,,,
9.21,9,1-clone,t7,,,,,,,,,
9.22,9,1-clone,t7,,,,,,,,,
9.23,9,1-clone,t7,,,,,,,,,
9.24,9,1-clone,t7,,,,,,,,,
10.1,10,1-clone,t7,,,,,,,,,
10.2,10,1-clone,t7,,,,,,,,,
10.3,10,1-clone,t7,,,,,,,,,
10.4,10,1-clone,t7,,,,,,,,,
10.5,10,1-clone,t7,,,,,,,,,
10.6,10,1-clone,t7,,,,,,,,,
10.7,10,1-clone,t7,,,,,,,,,
10.8,10,1-clone,t7,,,,,,,,,
10.9,10,1-clone,t7,,,,,,,,,
10.1,10,1-clone,t7,,,,,,,,,
10.11,10,1-clone,t7,,,,,,,,,
10.12,10,1-clone,t7,,,,,,,,,
10.13,10,1-clone,t7,,,,,,,,,
10.14,10,1-clone,t7,,,,,,,,,
10.15,10,1-clone,t7,,,,,,,,,
10.16,10,1-clone,t7,,,,,,,,,
10.17,10,1-clone,t7,,,,,,,,,
10.18,10,1-clone,t7,,,,,,,,,
10.19,10,1-clone,t7,,,,,,,,,
10.2,10,1-clone,t7,,,,,,,,,
10.21,10,1-clone,t7,,,,,,,,,
10.22,10,1-clone,t7,,,,,,,,,
10.23,10,1-clone,t7,,,,,,,,,
10.24,10,1-clone,t7,,,,,,,,,
11.1,11,1-clone,t7,,,,,,,,,
11.2,11,1-clone,t7,,,,,,,,,
11.3,11,1-clone,t7,,,,,,,,,
11.4,11,1-clone,t7,,,,,,,,,
11.5,11,1-clone,t7,,,,,,,,,
11.6,11,1-clone,t7,,,,,,,,,
11.7,11,1-clone,t7,,,,,,,,,
11.8,11,1-clone,t7,,,,,,,,,
11.9,11,1-clone,t7,,,,,,,,,
11.1,11,1-clone,t7,,,,,,,,,
11.11,11,1-clone,t7,,,,,,,,,
11.12,11,1-clone,t7,,,,,,,,,
11.13,11,1-clone,t7,,,,,,,,,
11.14,11,1-clone,t7,,,,,,,,,
11.15,11,1-clone,t7,,,,,,,,,
11.16,11,1-clone,t7,,,,,,,,,
